date,campaign_name,channel,impressions,clicks,cost,conversions,revenue
2026-03-20,Google Search - NonBrand,Google Search,58059,1188,2817.46,21,3479.85
2026-03-20,Google - Performance Max,Performance Max,131509,1938,2642.02,38,4560.57
2026-03-20,YouTube - Brand Awareness,YouTube,325590,1019,827.34,1,335.97
2026-03-20,YouTube - Prospecting,YouTube,110264,668,696.62,3,576.53
2026-03-20,Meta Ads - Prospecting,Meta,74570,875,1462.81,22,2566.0
2026-03-20,Meta Ads - Retargeting,Meta,18863,470,495.32,29,1737.64
2026-03-20,Meta - Lookalike 1%,Meta,54830,559,1094.5,10,1285.78
2026-03-20,Bing Search - Brand,Bing,6073,380,352.75,15,852.91
2026-03-20,Bing Search - NonBrand,Bing,13910,210,408.93,2,436.89
2026-03-20,Google Search - Competitors,Google Search,22354,276,1121.41,2,536.7
2026-03-20,Meta Ads - Video Stories,Meta,44715,790,1086.42,12,1213.47
2026-03-21,Google Search - Brand,Google Search,17740,1461,1840.4,76,5008.22
2026-03-21,Google Search - NonBrand,Google Search,46335,947,2563.07,18,3471.74
2026-03-21,Google - Performance Max,Performance Max,82613,1243,1719.37,29,3101.45
2026-03-21,YouTube - Brand Awareness,YouTube,229670,694,535.39,0,232.42
2026-03-21,YouTube - Prospecting,YouTube,69270,412,408.36,2,337.63
2026-03-21,Meta Ads - Prospecting,Meta,54599,678,1191.15,18,1922.48
2026-03-21,Meta Ads - Retargeting,Meta,13536,351,322.96,21,996.13
2026-03-21,Meta - Lookalike 1%,Meta,31362,311,658.29,5,846.17
2026-03-21,Bing Search - Brand,Bing,4615,276,232.7,11,474.31
2026-03-21,Bing Search - NonBrand,Bing,9259,137,231.8,2,221.75
2026-03-21,Google Search - Competitors,Google Search,14530,165,774.38,1,391.46
2026-03-21,Meta Ads - Video Stories,Meta,29010,473,642.97,6,652.12
2026-03-22,Google Search - Brand,Google Search,17780,1381,1658.62,65,3766.31
2026-03-22,Google Search - NonBrand,Google Search,44769,910,2459.47,17,2952.97
2026-03-22,Google - Performance Max,Performance Max,78805,1138,1572.31,26,2791.45
2026-03-22,YouTube - Brand Awareness,YouTube,194285,594,494.77,0,215.23
2026-03-22,YouTube - Prospecting,YouTube,61663,356,430.11,1,370.26
2026-03-22,Meta Ads - Prospecting,Meta,55733,679,1271.11,17,2070.72
2026-03-22,Meta Ads - Retargeting,Meta,12765,311,322.42,18,943.33
2026-03-22,Meta - Lookalike 1%,Meta,31575,309,654.61,6,775.52
2026-03-22,Bing Search - Brand,Bing,4197,261,228.22,10,512.92
2026-03-22,Bing Search - NonBrand,Bing,9612,146,285.34,2,288.83
2026-03-22,Google Search - Competitors,Google Search,15682,197,807.26,1,383.28
2026-03-22,Meta Ads - Video Stories,Meta,30888,545,808.35,8,930.59
2026-03-23,Google Search - Brand,Google Search,26363,2093,2522.06,102,6896.08
2026-03-23,Google Search - NonBrand,Google Search,64222,1312,3216.42,28,4205.92
2026-03-23,Google - Performance Max,Performance Max,134330,2053,3012.9,42,4912.85
2026-03-23,YouTube - Brand Awareness,YouTube,342475,987,840.52,1,316.46
2026-03-23,YouTube - Prospecting,YouTube,94109,564,591.75,2,473.35
2026-03-23,Meta Ads - Prospecting,Meta,82175,1026,1799.18,27,3017.81
2026-03-23,Meta Ads - Retargeting,Meta,19531,506,470.79,31,1371.66
2026-03-23,Meta - Lookalike 1%,Meta,51751,505,915.13,9,1148.98
2026-03-23,Bing Search - Brand,Bing,5889,347,298.18,13,712.43
2026-03-23,Bing Search - NonBrand,Bing,14776,223,416.09,3,425.33
2026-03-23,Google Search - Competitors,Google Search,25433,305,1323.7,2,653.09
2026-03-23,Meta Ads - Video Stories,Meta,44687,738,1000.4,11,1128.38
2026-03-24,Google Search - Brand,Google Search,25837,2038,2368.87,99,5839.99
2026-03-24,Google Search - NonBrand,Google Search,69295,1421,3319.54,30,4117.85
2026-03-24,Google - Performance Max,Performance Max,126934,1880,2823.83,40,4808.95
2026-03-24,YouTube - Brand Awareness,YouTube,307001,950,815.74,0,341.13
2026-03-24,YouTube - Prospecting,YouTube,102450,611,630.08,2,547.98
2026-03-24,Meta Ads - Prospecting,Meta,79566,915,1738.49,23,2710.0
2026-03-24,Meta Ads - Retargeting,Meta,17492,442,402.36,28,1213.42
2026-03-24,Meta - Lookalike 1%,Meta,50374,517,1058.97,10,1386.47
2026-03-24,Bing Search - Brand,Bing,6184,361,351.97,13,820.01
2026-03-24,Bing Search - NonBrand,Bing,15626,237,424.25,3,395.6
2026-03-24,Google Search - Competitors,Google Search,22057,268,1303.94,2,714.65
2026-03-24,Meta Ads - Video Stories,Meta,44640,761,1123.13,11,1141.2
2026-03-25,Google Search - Brand,Google Search,26575,2205,2892.32,118,7285.39
2026-03-25,Google Search - NonBrand,Google Search,70978,1402,3233.5,30,4239.41
2026-03-25,Google - Performance Max,Performance Max,134759,2055,3098.61,41,5123.3
2026-03-25,YouTube - Brand Awareness,YouTube,357236,1030,854.05,1,359.61
2026-03-25,YouTube - Prospecting,YouTube,98531,567,570.73,2,443.27
2026-03-25,Meta Ads - Prospecting,Meta,81924,946,1842.6,23,3003.85
2026-03-25,Meta Ads - Retargeting,Meta,20263,508,535.3,28,1684.05
2026-03-25,Meta - Lookalike 1%,Meta,48317,461,940.47,7,1221.62
2026-03-25,Bing Search - Brand,Bing,6645,417,339.53,15,819.48
2026-03-25,Bing Search - NonBrand,Bing,14890,234,460.19,3,417.7
2026-03-25,Google Search - Competitors,Google Search,22492,258,1268.76,2,627.26
2026-03-25,Meta Ads - Video Stories,Meta,49378,847,1245.17,13,1279.97
2026-03-26,Google Search - Brand,Google Search,28261,2302,2587.15,109,5960.38
2026-03-26,Google Search - NonBrand,Google Search,66629,1304,3230.68,25,4592.87
2026-03-26,Google - Performance Max,Performance Max,143296,2068,3125.99,48,5162.94
2026-03-26,YouTube - Brand Awareness,YouTube,355361,1113,862.11,1,369.18
2026-03-26,YouTube - Prospecting,YouTube,109749,648,784.01,3,615.47
2026-03-26,Meta Ads - Prospecting,Meta,78352,973,1818.11,23,2946.66
2026-03-26,Meta Ads - Retargeting,Meta,21007,512,523.13,29,1506.74
2026-03-26,Meta - Lookalike 1%,Meta,50098,495,999.54,8,1272.72
2026-03-26,Bing Search - Brand,Bing,6996,435,425.12,18,948.11
2026-03-26,Bing Search - NonBrand,Bing,16848,246,447.06,3,415.06
2026-03-26,Google Search - Competitors,Google Search,24717,309,1494.01,2,753.0
2026-03-26,Meta Ads - Video Stories,Meta,45396,755,1031.97,11,1219.81
2026-03-27,Google Search - Brand,Google Search,27199,2179,2811.6,101,6551.28
2026-03-27,Google Search - NonBrand,Google Search,59734,1139,2867.8,23,4010.97
2026-03-27,Google - Performance Max,Performance Max,139914,2072,2879.21,42,5005.98
2026-03-27,YouTube - Brand Awareness,YouTube,341147,1001,842.84,0,318.43
2026-03-27,YouTube - Prospecting,YouTube,110775,670,794.88,3,577.44
2026-03-27,Meta Ads - Prospecting,Meta,82618,1035,1792.76,26,3090.57
2026-03-27,Meta Ads - Retargeting,Meta,21562,515,548.4,28,1601.61
2026-03-27,Meta - Lookalike 1%,Meta,54966,554,1052.89,9,1180.94
2026-03-27,Bing Search - Brand,Bing,6273,386,324.87,15,644.72
2026-03-27,Bing Search - NonBrand,Bing,17268,251,448.91,3,455.94
2026-03-27,Google Search - Competitors,Google Search,22958,278,1171.47,2,595.35
2026-03-27,Meta Ads - Video Stories,Meta,44920,714,924.02,10,1065.2
2026-03-28,Google Search - Brand,Google Search,17944,1413,1658.64,65,4515.64
2026-03-28,Google Search - NonBrand,Google Search,46872,900,2446.49,16,3310.84
2026-03-28,Google - Performance Max,Performance Max,88004,1278,2009.0,30,3485.05
2026-03-28,YouTube - Brand Awareness,YouTube,206906,619,463.79,0,188.28
2026-03-28,YouTube - Prospecting,YouTube,67772,409,474.23,1,372.62
2026-03-28,Meta Ads - Prospecting,Meta,49607,569,965.94,15,1622.9
2026-03-28,Meta Ads - Retargeting,Meta,13427,326,354.37,20,1111.9
2026-03-28,Meta - Lookalike 1%,Meta,34335,351,694.88,6,821.4
2026-03-28,Bing Search - Brand,Bing,4180,249,202.36,10,466.67
2026-03-28,Bing Search - NonBrand,Bing,11023,167,287.01,2,299.69
2026-03-28,Google Search - Competitors,Google Search,15828,185,870.97,1,392.91
2026-03-28,Meta Ads - Video Stories,Meta,32491,536,789.0,8,910.92
2026-03-29,Google Search - Brand,Google Search,18046,1406,1731.7,71,4342.28
2026-03-29,Google Search - NonBrand,Google Search,45740,925,2522.82,17,3438.6
2026-03-29,Google - Performance Max,Performance Max,94118,1432,2073.65,29,3892.5
2026-03-29,YouTube - Brand Awareness,YouTube,241105,699,576.24,0,207.72
2026-03-29,YouTube - Prospecting,YouTube,67253,385,455.8,2,370.58
2026-03-29,Meta Ads - Prospecting,Meta,48709,568,1006.67,14,1551.41
2026-03-29,Meta Ads - Retargeting,Meta,12888,319,294.59,18,856.9
2026-03-29,Meta - Lookalike 1%,Meta,38879,407,758.06,7,947.95
2026-03-29,Bing Search - Brand,Bing,4591,267,231.8,10,498.97
2026-03-29,Bing Search - NonBrand,Bing,10666,160,303.46,2,292.83
2026-03-29,Google Search - Competitors,Google Search,16728,202,997.74,1,473.97
2026-03-29,Meta Ads - Video Stories,Meta,30578,497,642.55,6,697.58
2026-03-30,Google Search - Brand,Google Search,27005,2260,2566.5,123,5812.51
2026-03-30,Google Search - NonBrand,Google Search,60780,1178,2945.98,25,3607.66
2026-03-30,Google - Performance Max,Performance Max,145811,2140,3177.22,51,5825.09
2026-03-30,YouTube - Brand Awareness,YouTube,310818,936,757.7,0,302.18
2026-03-30,YouTube - Prospecting,YouTube,110583,691,718.11,3,580.17
2026-03-30,Meta Ads - Prospecting,Meta,87825,1051,2065.1,25,3613.0
2026-03-30,Meta Ads - Retargeting,Meta,20145,494,477.39,31,1545.98
2026-03-30,Meta - Lookalike 1%,Meta,52235,504,1065.85,8,1344.89
2026-03-30,Bing Search - Brand,Bing,7258,450,386.29,19,888.62
2026-03-30,Bing Search - NonBrand,Bing,16774,242,472.49,3,502.89
2026-03-30,Google Search - Competitors,Google Search,25797,320,1327.79,2,658.44
2026-03-30,Meta Ads - Video Stories,Meta,42341,723,1049.51,11,1186.45
2026-03-31,Google Search - Brand,Google Search,28814,2346,2967.63,112,7186.76
2026-03-31,Google Search - NonBrand,Google Search,72366,1508,3960.54,30,4914.99
2026-03-31,Google - Performance Max,Performance Max,139482,2085,2818.67,41,5119.18
2026-03-31,YouTube - Brand Awareness,YouTube,328096,991,729.89,1,267.3
2026-03-31,YouTube - Prospecting,YouTube,99738,614,691.59,2,602.15
2026-03-31,Meta Ads - Prospecting,Meta,87018,1067,1805.94,27,2684.91
2026-03-31,Meta Ads - Retargeting,Meta,20584,490,488.35,26,1644.52
2026-03-31,Meta - Lookalike 1%,Meta,55072,538,1152.9,8,1426.57
2026-03-31,Bing Search - Brand,Bing,6295,365,321.24,13,754.49
2026-03-31,Bing Search - NonBrand,Bing,14927,223,363.92,3,335.93
2026-03-31,Google Search - Competitors,Google Search,23784,279,1195.61,2,555.26
2026-03-31,Meta Ads - Video Stories,Meta,43014,682,1035.47,9,1228.27
2026-04-01,Google Search - Brand,Google Search,28166,2268,2473.45,105,5985.92
2026-04-01,Google Search - NonBrand,Google Search,69389,1354,3517.64,26,4425.23
2026-04-01,Google - Performance Max,Performance Max,124213,1909,2590.21,44,4564.19
2026-04-01,YouTube - Brand Awareness,YouTube,342182,1021,807.91,0,344.96
2026-04-01,YouTube - Prospecting,YouTube,115706,679,728.42,3,564.11
2026-04-01,Meta Ads - Prospecting,Meta,82793,964,1738.99,25,2815.45
2026-04-01,Meta Ads - Retargeting,Meta,22070,550,524.16,33,1629.73
2026-04-01,Meta - Lookalike 1%,Meta,57604,597,1239.98,10,1557.55
2026-04-01,Bing Search - Brand,Bing,6374,374,361.2,13,718.39
2026-04-01,Bing Search - NonBrand,Bing,14865,225,366.15,3,345.89
2026-04-01,Google Search - Competitors,Google Search,23269,266,1125.85,2,600.49
2026-04-01,Meta Ads - Video Stories,Meta,44445,708,981.47,9,1093.04
2026-04-02,Google Search - Brand,Google Search,27220,2157,2697.39,107,7168.56
2026-04-02,Google Search - NonBrand,Google Search,64466,1281,3222.27,27,3893.0
2026-04-02,Google - Performance Max,Performance Max,145158,2214,3463.1,53,6159.4
2026-04-02,YouTube - Brand Awareness,YouTube,310893,967,718.89,0,276.69
2026-04-02,YouTube - Prospecting,YouTube,108115,647,749.2,3,654.46
2026-04-02,Meta Ads - Prospecting,Meta,80461,1008,1694.83,24,2683.7
2026-04-02,Meta Ads - Retargeting,Meta,19591,473,487.66,25,1677.71
2026-04-02,Meta - Lookalike 1%,Meta,57052,550,1195.13,9,1543.88
2026-04-02,Bing Search - Brand,Bing,6756,392,385.45,15,849.1
2026-04-02,Bing Search - NonBrand,Bing,14953,216,382.12,2,354.79
2026-04-02,Google Search - Competitors,Google Search,21989,275,1327.68,2,723.81
2026-04-02,Meta Ads - Video Stories,Meta,52095,812,1107.33,11,1102.22
2026-04-03,Google Search - Brand,Google Search,29142,2329,3071.26,108,7985.82
2026-04-03,Google Search - NonBrand,Google Search,71689,1463,3808.61,27,4461.37
2026-04-03,Google - Performance Max,Performance Max,139267,2181,3576.34,47,7059.12
2026-04-03,YouTube - Brand Awareness,YouTube,310398,939,705.09,0,263.99
2026-04-03,YouTube - Prospecting,YouTube,111567,640,739.92,3,582.84
2026-04-03,Meta Ads - Prospecting,Meta,83187,955,1604.11,24,2813.23
2026-04-03,Meta Ads - Retargeting,Meta,19236,460,440.64,27,1449.62
2026-04-03,Meta - Lookalike 1%,Meta,49433,487,929.04,8,1141.74
2026-04-03,Bing Search - Brand,Bing,6521,400,388.86,15,774.57
2026-04-03,Bing Search - NonBrand,Bing,17146,250,467.33,3,449.75
2026-04-03,Google Search - Competitors,Google Search,22790,268,1300.95,1,713.92
2026-04-03,Meta Ads - Video Stories,Meta,49945,793,1218.39,12,1337.41
2026-04-04,Google Search - Brand,Google Search,16594,1358,1789.69,64,4693.09
2026-04-04,Google Search - NonBrand,Google Search,46475,885,2050.07,19,2748.08
2026-04-04,Google - Performance Max,Performance Max,89550,1309,2101.01,27,3660.83
2026-04-04,YouTube - Brand Awareness,YouTube,238419,697,558.29,0,207.25
2026-04-04,YouTube - Prospecting,YouTube,79254,476,499.29,2,372.87
2026-04-04,Meta Ads - Prospecting,Meta,58602,691,1171.77,15,1939.82
2026-04-04,Meta Ads - Retargeting,Meta,13787,350,333.95,20,979.67
2026-04-04,Meta - Lookalike 1%,Meta,33931,343,714.5,6,805.12
2026-04-04,Bing Search - Brand,Bing,4142,251,216.83,10,484.75
2026-04-04,Bing Search - NonBrand,Bing,10589,160,272.15,2,252.11
2026-04-04,Google Search - Competitors,Google Search,15749,182,881.29,1,409.33
2026-04-04,Meta Ads - Video Stories,Meta,34443,572,731.13,8,750.22
2026-04-05,Google Search - Brand,Google Search,17514,1430,1790.92,77,4886.69
2026-04-05,Google Search - NonBrand,Google Search,48965,1025,2401.41,21,3213.06
2026-04-05,Google - Performance Max,Performance Max,95551,1503,2476.13,35,4109.11
2026-04-05,YouTube - Brand Awareness,YouTube,210311,606,494.43,0,188.22
2026-04-05,YouTube - Prospecting,YouTube,66313,408,414.75,1,353.73
2026-04-05,Meta Ads - Prospecting,Meta,51739,605,1162.28,15,1790.99
2026-04-05,Meta Ads - Retargeting,Meta,13041,312,297.85,19,987.16
2026-04-05,Meta - Lookalike 1%,Meta,38131,395,832.95,6,947.16
2026-04-05,Bing Search - Brand,Bing,4242,256,211.66,10,464.89
2026-04-05,Bing Search - NonBrand,Bing,10796,163,302.39,2,274.56
2026-04-05,Google Search - Competitors,Google Search,17302,204,1006.58,1,511.66
2026-04-05,Meta Ads - Video Stories,Meta,31859,503,747.46,7,874.93
2026-04-06,Google Search - Brand,Google Search,27991,2142,2504.34,100,5809.35
2026-04-06,Google Search - NonBrand,Google Search,68072,1378,3557.24,26,4535.02
2026-04-06,Google - Performance Max,Performance Max,146360,2164,3465.17,42,6807.49
2026-04-06,YouTube - Brand Awareness,YouTube,363411,1076,819.68,1,305.56
2026-04-06,YouTube - Prospecting,YouTube,103994,649,780.37,2,643.57
2026-04-06,Meta Ads - Prospecting,Meta,83450,1006,1903.83,26,3134.75
2026-04-06,Meta Ads - Retargeting,Meta,22694,587,608.72,36,1761.38
2026-04-06,Meta - Lookalike 1%,Meta,50614,515,930.88,9,1156.03
2026-04-06,Bing Search - Brand,Bing,7401,422,414.67,18,975.59
2026-04-06,Bing Search - NonBrand,Bing,15600,236,413.85,3,445.36
2026-04-06,Google Search - Competitors,Google Search,26237,315,1360.29,2,665.96
2026-04-06,Meta Ads - Video Stories,Meta,51579,803,1146.18,13,1155.06
2026-04-07,Google Search - Brand,Google Search,29528,2462,2722.5,134,6346.96
2026-04-07,Google Search - NonBrand,Google Search,67863,1360,3487.46,28,4425.86
2026-04-07,Google - Performance Max,Performance Max,127030,1960,2994.81,42,5251.21
2026-04-07,YouTube - Brand Awareness,YouTube,361472,1083,949.11,0,357.52
2026-04-07,YouTube - Prospecting,YouTube,121249,740,783.51,3,649.39
2026-04-07,Meta Ads - Prospecting,Meta,86030,1008,1940.51,26,3064.84
2026-04-07,Meta Ads - Retargeting,Meta,22818,544,589.82,34,1909.05
2026-04-07,Meta - Lookalike 1%,Meta,60452,623,1219.02,12,1318.08
2026-04-07,Bing Search - Brand,Bing,6935,403,382.08,17,906.85
2026-04-07,Bing Search - NonBrand,Bing,17645,270,453.05,3,452.95
2026-04-07,Google Search - Competitors,Google Search,24428,280,1306.08,2,699.23
2026-04-07,Meta Ads - Video Stories,Meta,51646,813,1147.68,11,1319.01
2026-04-08,Google Search - Brand,Google Search,25191,2040,2584.31,105,6346.35
2026-04-08,Google Search - NonBrand,Google Search,69148,1334,3063.72,29,3755.91
2026-04-08,Google - Performance Max,Performance Max,152640,2341,3238.51,51,5408.4
2026-04-08,YouTube - Brand Awareness,YouTube,375878,1177,915.8,1,333.84
2026-04-08,YouTube - Prospecting,YouTube,118747,727,817.02,3,691.62
2026-04-08,Meta Ads - Prospecting,Meta,87532,1096,1943.69,26,3218.94
