date,campaign_name,channel,impressions,clicks,cost,conversions,revenue,search_query,keyword,match_type,installs,impression_share,lost_is_budget,lost_is_rank,avg_position,top_impression_share,absolute_top_impression_share,device,country,campaign_budget,monthly_budget,target_cpa,target_roas,target_cpi,conversion_value,estimated_ltv,margin
2026-01-01,Google Search - Competitors,Google Search,259,13,45.34,0,0.0,ahrefs traffic forecaster,ahrefs,broad,0,0.754,0.071,0.157,3.53,0.83,0.528,Mobile,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-01,Google Search - Competitors,Google Search,306,18,25.59,0,0.0,spyfu competitor ads budget planner,competitor template,broad,0,0.754,0.071,0.157,2.54,0.83,0.528,Tablet,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-01,Meta Ads - Prospecting,Meta,836,76,135.39,3,247.24,,,,3,0.693,0.233,0.139,1.17,0.762,0.485,Desktop,Germany,200.0,6080.0,35.0,1.8,12.0,80.0,200.0,0.4
2026-01-01,Meta Ads - Retargeting,Meta,3431,47,104.61,4,484.96,,,,4,0.4,0.55,0.05,2.92,0.44,0.28,Desktop,United States,50.0,1520.0,25.0,3.5,8.0,120.0,400.0,0.6
2026-01-01,YouTube - Brand Awareness,YouTube,2047,89,198.88,0,0.0,,,,0,0.612,0.087,0.178,1.82,0.673,0.428,Desktop,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-01,YouTube - Brand Awareness,YouTube,182,11,23.72,0,0.0,free advertising tutorial youtube,marketing tutorial,broad,0,0.612,0.087,0.178,2.33,0.673,0.428,Desktop,Canada,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-01,YouTube - Brand Awareness,YouTube,181,13,15.11,0,0.0,cheap keyword planner software download,keyword planner,broad,0,0.612,0.087,0.178,2.3,0.673,0.428,Desktop,Germany,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-01,YouTube - Brand Awareness,YouTube,233,18,27.55,0,0.0,marketing jobs salary definition,jobs,broad,0,0.612,0.087,0.178,2.6,0.673,0.428,Desktop,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-01,YouTube - Brand Awareness,YouTube,261,12,11.84,0,0.0,how to reset google ads password,support,broad,0,0.612,0.087,0.178,2.71,0.673,0.428,Tablet,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-02,Google Search - Brand,Google Search,1155,55,135.38,4,410.01,,,,4,0.7,0.02,0.28,1.69,0.77,0.49,Tablet,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-02,Google Search - Brand,Google Search,99,3,6.0,0,0.0,forecastiq,forecastiq,exact,0,0.7,0.02,0.28,2.34,0.77,0.49,Tablet,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-02,Google Search - Brand,Google Search,95,4,6.93,0,0.0,forecastiq pricing,forecastiq,phrase,0,0.7,0.02,0.28,2.06,0.77,0.49,Tablet,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-02,Google Search - Brand,Google Search,126,5,6.81,0,0.0,forecastiq software reviews,forecastiq,broad,0,0.7,0.02,0.28,3.73,0.77,0.49,Tablet,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-02,Google Search - Brand,Google Search,96,2,1.66,0,0.0,forecastiq login portal,forecastiq,phrase,0,0.7,0.02,0.28,1.91,0.77,0.49,Desktop,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-02,Google Search - NonBrand,Google Search,7125,95,187.36,5,290.91,,,,6,0.833,0.168,0.123,1.9,0.916,0.583,Desktop,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-02,Google Search - NonBrand,Google Search,764,53,73.49,8,511.09,paid ads forecasting tool,forecasting tool,phrase,9,0.833,0.168,0.123,1.41,0.916,0.583,Tablet,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-02,Google Search - NonBrand,Google Search,1049,29,35.95,5,307.08,marketing forecasting software,forecasting tool,exact,5,0.833,0.168,0.123,1.36,0.916,0.583,Mobile,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-02,Google Search - NonBrand,Google Search,1021,60,112.1,12,773.49,ppc budget optimization planner,budget optimization,broad,12,0.833,0.168,0.123,1.46,0.916,0.583,Desktop,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-02,Google Search - NonBrand,Google Search,634,47,17.69,0,0.0,ads forecasting template excel,forecasting tool,broad,0,0.833,0.168,0.123,3.03,0.916,0.583,Desktop,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-02,Google Search - Competitors,Google Search,2272,32,63.94,1,38.7,,,,1,0.878,0.189,0.083,2.17,0.966,0.615,Mobile,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-02,Google Search - Competitors,Google Search,296,6,37.91,0,0.0,semrush forecasting tool alternative,semrush,phrase,0,0.878,0.189,0.083,3.34,0.966,0.615,Desktop,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-02,Google Search - Competitors,Google Search,266,13,40.61,0,0.0,ahrefs traffic forecaster,ahrefs,broad,0,0.878,0.189,0.083,1.98,0.966,0.615,Mobile,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-02,Google Search - Competitors,Google Search,206,12,27.05,0,0.0,spyfu competitor ads budget planner,competitor template,broad,0,0.878,0.189,0.083,3.41,0.966,0.615,Desktop,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-02,Meta Ads - Prospecting,Meta,7772,134,365.23,9,737.23,,,,9,0.733,0.221,0.151,1.17,0.806,0.513,Tablet,United States,200.0,6080.0,35.0,1.8,12.0,80.0,200.0,0.4
2026-01-02,Meta Ads - Retargeting,Meta,1425,19,44.34,1,112.05,,,,1,0.4,0.55,0.05,2.21,0.44,0.28,Desktop,Germany,50.0,1520.0,25.0,3.5,8.0,120.0,400.0,0.6
2026-01-02,YouTube - Brand Awareness,YouTube,1944,54,107.12,0,0.0,,,,0,0.745,0.179,0.056,3.27,0.82,0.522,Tablet,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-02,YouTube - Brand Awareness,YouTube,270,17,23.05,0,0.0,free advertising tutorial youtube,marketing tutorial,broad,0,0.745,0.179,0.056,3.73,0.82,0.522,Mobile,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-02,YouTube - Brand Awareness,YouTube,226,17,16.02,0,0.0,cheap keyword planner software download,keyword planner,broad,0,0.745,0.179,0.056,3.37,0.82,0.522,Mobile,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-02,YouTube - Brand Awareness,YouTube,232,14,27.25,0,0.0,marketing jobs salary definition,jobs,broad,0,0.745,0.179,0.056,3.04,0.82,0.522,Desktop,Germany,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-02,YouTube - Brand Awareness,YouTube,209,8,11.05,0,0.0,how to reset google ads password,support,broad,0,0.745,0.179,0.056,1.3,0.82,0.522,Tablet,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-03,Google Search - Brand,Google Search,1720,40,85.39,2,199.6,,,,2,0.7,0.02,0.28,3.27,0.77,0.49,Mobile,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-03,Google Search - Brand,Google Search,217,15,17.0,0,0.0,forecastiq,forecastiq,exact,0,0.7,0.02,0.28,1.97,0.77,0.49,Desktop,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-03,Google Search - Brand,Google Search,234,13,16.48,0,0.0,forecastiq pricing,forecastiq,phrase,0,0.7,0.02,0.28,3.18,0.77,0.49,Desktop,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-03,Google Search - Brand,Google Search,255,6,8.57,0,0.0,forecastiq software reviews,forecastiq,broad,0,0.7,0.02,0.28,1.73,0.77,0.49,Tablet,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-03,Google Search - Brand,Google Search,172,12,15.0,0,0.0,forecastiq login portal,forecastiq,phrase,0,0.7,0.02,0.28,1.97,0.77,0.49,Mobile,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-03,Google Search - NonBrand,Google Search,4224,96,181.45,3,197.67,,,,3,0.792,0.06,0.145,1.96,0.872,0.555,Mobile,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-03,Google Search - NonBrand,Google Search,579,12,20.61,1,54.38,paid ads forecasting tool,forecasting tool,phrase,1,0.792,0.06,0.145,1.69,0.872,0.555,Desktop,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-03,Google Search - NonBrand,Google Search,582,33,43.94,6,385.01,marketing forecasting software,forecasting tool,exact,6,0.792,0.06,0.145,3.76,0.872,0.555,Desktop,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-03,Google Search - NonBrand,Google Search,522,15,27.78,3,172.18,ppc budget optimization planner,budget optimization,broad,3,0.792,0.06,0.145,3.12,0.872,0.555,Tablet,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-03,Google Search - NonBrand,Google Search,379,29,19.09,0,0.0,ads forecasting template excel,forecasting tool,broad,0,0.792,0.06,0.145,2.64,0.872,0.555,Tablet,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-03,Google Search - Competitors,Google Search,2808,54,73.49,1,37.53,,,,1,0.753,0.051,0.074,3.0,0.828,0.527,Mobile,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-03,Google Search - Competitors,Google Search,373,15,36.95,0,0.0,semrush forecasting tool alternative,semrush,phrase,0,0.753,0.051,0.074,2.28,0.828,0.527,Mobile,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-03,Google Search - Competitors,Google Search,358,19,47.45,0,0.0,ahrefs traffic forecaster,ahrefs,broad,0,0.753,0.051,0.074,2.9,0.828,0.527,Tablet,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-03,Google Search - Competitors,Google Search,407,9,26.51,0,0.0,spyfu competitor ads budget planner,competitor template,broad,0,0.753,0.051,0.074,2.79,0.828,0.527,Mobile,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-03,Meta Ads - Prospecting,Meta,6072,92,239.76,7,578.73,,,,8,0.649,0.07,0.135,3.27,0.714,0.454,Desktop,United States,200.0,6080.0,35.0,1.8,12.0,80.0,200.0,0.4
2026-01-03,Meta Ads - Retargeting,Meta,308,14,28.14,1,120.64,,,,1,0.4,0.55,0.05,2.54,0.44,0.28,Desktop,United States,50.0,1520.0,25.0,3.5,8.0,120.0,400.0,0.6
2026-01-03,YouTube - Brand Awareness,YouTube,2940,98,143.48,0,0.0,,,,0,0.735,0.155,0.163,2.7,0.808,0.514,Mobile,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-03,YouTube - Brand Awareness,YouTube,287,8,24.2,0,0.0,free advertising tutorial youtube,marketing tutorial,broad,0,0.735,0.155,0.163,2.44,0.808,0.514,Mobile,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-03,YouTube - Brand Awareness,YouTube,249,4,17.39,0,0.0,cheap keyword planner software download,keyword planner,broad,0,0.735,0.155,0.163,2.35,0.808,0.514,Tablet,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-03,YouTube - Brand Awareness,YouTube,359,10,29.56,0,0.0,marketing jobs salary definition,jobs,broad,0,0.735,0.155,0.163,1.24,0.808,0.514,Tablet,Canada,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-03,YouTube - Brand Awareness,YouTube,439,15,11.48,0,0.0,how to reset google ads password,support,broad,0,0.735,0.155,0.163,2.52,0.808,0.514,Tablet,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-04,Google Search - Brand,Google Search,1640,41,42.99,1,103.36,,,,1,0.7,0.02,0.28,1.42,0.77,0.49,Desktop,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-04,Google Search - Brand,Google Search,242,17,30.6,0,0.0,forecastiq,forecastiq,exact,0,0.7,0.02,0.28,3.23,0.77,0.49,Desktop,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-04,Google Search - Brand,Google Search,169,7,7.28,0,0.0,forecastiq pricing,forecastiq,phrase,0,0.7,0.02,0.28,2.84,0.77,0.49,Tablet,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-04,Google Search - Brand,Google Search,173,11,15.23,1,93.73,forecastiq software reviews,forecastiq,broad,1,0.7,0.02,0.28,2.99,0.77,0.49,Tablet,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-04,Google Search - Brand,Google Search,135,5,9.59,0,0.0,forecastiq login portal,forecastiq,phrase,0,0.7,0.02,0.28,2.64,0.77,0.49,Mobile,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-04,Google Search - NonBrand,Google Search,4107,111,259.22,5,289.54,,,,5,0.78,0.147,0.094,1.13,0.858,0.546,Desktop,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-04,Google Search - NonBrand,Google Search,511,24,39.79,3,172.81,paid ads forecasting tool,forecasting tool,phrase,3,0.78,0.147,0.094,3.06,0.858,0.546,Desktop,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-04,Google Search - NonBrand,Google Search,449,30,41.44,6,391.48,marketing forecasting software,forecasting tool,exact,7,0.78,0.147,0.094,2.93,0.858,0.546,Desktop,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-04,Google Search - NonBrand,Google Search,431,33,51.07,7,431.49,ppc budget optimization planner,budget optimization,broad,7,0.78,0.147,0.094,1.59,0.858,0.546,Mobile,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-04,Google Search - NonBrand,Google Search,431,14,17.57,0,0.0,ads forecasting template excel,forecasting tool,broad,0,0.78,0.147,0.094,1.77,0.858,0.546,Tablet,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-04,Google Search - Competitors,Google Search,1750,25,64.99,1,42.3,,,,1,0.886,0.074,0.101,1.12,0.975,0.62,Tablet,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-04,Google Search - Competitors,Google Search,208,14,33.18,0,0.0,semrush forecasting tool alternative,semrush,phrase,0,0.886,0.074,0.101,1.84,0.975,0.62,Desktop,Germany,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-04,Google Search - Competitors,Google Search,190,11,42.01,0,0.0,ahrefs traffic forecaster,ahrefs,broad,0,0.886,0.074,0.101,2.92,0.975,0.62,Tablet,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-04,Google Search - Competitors,Google Search,255,13,26.57,0,0.0,spyfu competitor ads budget planner,competitor template,broad,0,0.886,0.074,0.101,3.03,0.975,0.62,Mobile,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-04,Meta Ads - Prospecting,Meta,2318,122,250.33,6,500.68,,,,6,0.836,0.181,0.108,2.75,0.92,0.585,Desktop,United Kingdom,200.0,6080.0,35.0,1.8,12.0,80.0,200.0,0.4
2026-01-04,Meta Ads - Retargeting,Meta,1134,21,51.61,1,111.79,,,,1,0.4,0.55,0.05,1.94,0.44,0.28,Tablet,Canada,50.0,1520.0,25.0,3.5,8.0,120.0,400.0,0.6
2026-01-04,YouTube - Brand Awareness,YouTube,1782,54,142.06,0,0.0,,,,0,0.578,0.129,0.079,2.3,0.636,0.405,Tablet,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-04,YouTube - Brand Awareness,YouTube,258,13,21.91,0,0.0,free advertising tutorial youtube,marketing tutorial,broad,0,0.578,0.129,0.079,3.59,0.636,0.405,Desktop,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-04,YouTube - Brand Awareness,YouTube,169,5,16.66,0,0.0,cheap keyword planner software download,keyword planner,broad,0,0.578,0.129,0.079,1.92,0.636,0.405,Desktop,Germany,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-04,YouTube - Brand Awareness,YouTube,192,13,31.57,0,0.0,marketing jobs salary definition,jobs,broad,0,0.578,0.129,0.079,1.84,0.636,0.405,Desktop,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-04,YouTube - Brand Awareness,YouTube,230,9,12.15,0,0.0,how to reset google ads password,support,broad,0,0.578,0.129,0.079,3.07,0.636,0.405,Tablet,Canada,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-05,Google Search - Brand,Google Search,3645,81,127.01,4,425.07,,,,4,0.7,0.02,0.28,3.3,0.77,0.49,Desktop,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-05,Google Search - Brand,Google Search,526,38,59.77,1,91.63,forecastiq,forecastiq,exact,1,0.7,0.02,0.28,3.26,0.77,0.49,Desktop,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-05,Google Search - Brand,Google Search,458,36,63.78,2,196.97,forecastiq pricing,forecastiq,phrase,2,0.7,0.02,0.28,3.1,0.77,0.49,Desktop,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-05,Google Search - Brand,Google Search,517,27,50.2,3,281.83,forecastiq software reviews,forecastiq,broad,3,0.7,0.02,0.28,1.66,0.77,0.49,Mobile,Canada,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-05,Google Search - Brand,Google Search,432,10,17.89,0,0.0,forecastiq login portal,forecastiq,phrase,0,0.7,0.02,0.28,1.65,0.77,0.49,Tablet,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-05,Google Search - NonBrand,Google Search,7080,118,336.63,9,575.12,,,,10,0.838,0.161,0.11,2.84,0.921,0.586,Desktop,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-05,Google Search - NonBrand,Google Search,913,30,37.25,4,245.48,paid ads forecasting tool,forecasting tool,phrase,4,0.838,0.161,0.11,1.3,0.921,0.586,Tablet,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-05,Google Search - NonBrand,Google Search,838,18,35.34,4,238.45,marketing forecasting software,forecasting tool,exact,4,0.838,0.161,0.11,2.74,0.921,0.586,Desktop,United States,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-05,Google Search - NonBrand,Google Search,669,38,63.81,9,567.71,ppc budget optimization planner,budget optimization,broad,9,0.838,0.161,0.11,2.43,0.921,0.586,Tablet,Canada,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-05,Google Search - NonBrand,Google Search,1035,54,19.61,0,0.0,ads forecasting template excel,forecasting tool,broad,0,0.838,0.161,0.11,2.92,0.921,0.586,Mobile,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-05,Google Search - Competitors,Google Search,3381,69,119.12,2,86.74,,,,2,0.676,0.132,0.125,2.49,0.744,0.473,Mobile,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-05,Google Search - Competitors,Google Search,273,15,34.61,0,0.0,semrush forecasting tool alternative,semrush,phrase,0,0.676,0.132,0.125,2.2,0.744,0.473,Mobile,United States,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-05,Google Search - Competitors,Google Search,421,19,40.61,0,0.0,ahrefs traffic forecaster,ahrefs,broad,0,0.676,0.132,0.125,3.44,0.744,0.473,Mobile,Canada,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-05,Google Search - Competitors,Google Search,326,11,23.95,0,0.0,spyfu competitor ads budget planner,competitor template,broad,0,0.676,0.132,0.125,2.86,0.744,0.473,Tablet,United Kingdom,100.0,3040.0,50.0,0.8,20.0,40.0,100.0,0.2
2026-01-05,Meta Ads - Prospecting,Meta,3965,65,184.34,5,418.92,,,,5,0.871,0.2,0.15,1.9,0.958,0.61,Desktop,United Kingdom,200.0,6080.0,35.0,1.8,12.0,80.0,200.0,0.4
2026-01-05,Meta Ads - Retargeting,Meta,1034,22,49.05,2,225.92,,,,2,0.4,0.55,0.05,1.58,0.44,0.28,Tablet,Canada,50.0,1520.0,25.0,3.5,8.0,120.0,400.0,0.6
2026-01-05,YouTube - Brand Awareness,YouTube,7920,110,224.59,0,0.0,,,,0,0.791,0.206,0.178,1.11,0.87,0.553,Desktop,Germany,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-05,YouTube - Brand Awareness,YouTube,1117,52,23.6,0,0.0,free advertising tutorial youtube,marketing tutorial,broad,0,0.791,0.206,0.178,3.02,0.87,0.553,Desktop,United States,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-05,YouTube - Brand Awareness,YouTube,1039,33,17.35,0,0.0,cheap keyword planner software download,keyword planner,broad,0,0.791,0.206,0.178,2.26,0.87,0.553,Tablet,United Kingdom,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-05,YouTube - Brand Awareness,YouTube,812,35,31.49,0,0.0,marketing jobs salary definition,jobs,broad,0,0.791,0.206,0.178,2.34,0.87,0.553,Desktop,Canada,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-05,YouTube - Brand Awareness,YouTube,1009,38,12.45,0,0.0,how to reset google ads password,support,broad,0,0.791,0.206,0.178,3.43,0.87,0.553,Tablet,Canada,150.0,4560.0,60.0,0.5,25.0,30.0,80.0,0.15
2026-01-06,Google Search - Brand,Google Search,9600,120,141.31,5,520.71,,,,5,0.7,0.02,0.28,3.34,0.77,0.49,Mobile,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-06,Google Search - Brand,Google Search,1047,72,117.11,3,324.16,forecastiq,forecastiq,exact,3,0.7,0.02,0.28,2.48,0.77,0.49,Tablet,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-06,Google Search - Brand,Google Search,974,50,50.11,4,366.04,forecastiq pricing,forecastiq,phrase,4,0.7,0.02,0.28,1.24,0.77,0.49,Desktop,United States,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-06,Google Search - Brand,Google Search,1010,49,63.47,8,764.42,forecastiq software reviews,forecastiq,broad,9,0.7,0.02,0.28,3.42,0.77,0.49,Mobile,Germany,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-06,Google Search - Brand,Google Search,913,65,121.47,1,102.24,forecastiq login portal,forecastiq,phrase,1,0.7,0.02,0.28,3.17,0.77,0.49,Mobile,United Kingdom,150.0,4560.0,30.0,2.5,10.0,100.0,300.0,0.5
2026-01-06,Google Search - NonBrand,Google Search,2895,193,468.25,11,675.57,,,,11,0.816,0.066,0.171,1.75,0.898,0.571,Desktop,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-06,Google Search - NonBrand,Google Search,329,7,5.75,0,0.0,paid ads forecasting tool,forecasting tool,phrase,0,0.816,0.066,0.171,3.2,0.898,0.571,Mobile,Germany,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
2026-01-06,Google Search - NonBrand,Google Search,339,16,27.21,2,115.99,marketing forecasting software,forecasting tool,exact,2,0.816,0.066,0.171,3.2,0.898,0.571,Mobile,United Kingdom,300.0,9120.0,40.0,1.5,15.0,60.0,150.0,0.35
